"Variable","Variable Number","Topic","Topic Number","Subtopic","Subtopic Number","Survey Years","Availability","Description","Table Name","Type","Edit Flag Variable","Imputation Strategy","Response Codes","Question Text","Instrument Variable Name(s)","Disclosure","Conditions in Universe","User Notes"
"PMTINC3","30","Mortgage Details","9","Payment Change","5","2013 National","PUF","Payment amount increased or decreased for third mortgage","HOUSEHOLD","Character","NA","","1: Increased||2: Decreased||D: Don't know||B: Not applicable","","","","","",
"PMTINC3","30","Mortgage Details","9","Payment Change","5","2013 Metro, 2011 Metro","PUF","Payment amount increased or decreased for third mortgage","HOUSEHOLD","Character","NA","","1: Increased||2: Decreased||Blank: Not reported||B: Not applicable","","","","","",
"PMTINC3","30","Mortgage Details","9","Payment Change","5","2011 National","PUF","Payment amount increased or decreased for third mortgage","HOUSEHOLD","Character","NA","","1: Increased||2: Decreased||B: Not applicable","","","","","",
"PTCHAM2","31","Mortgage Details","9","Payment Change","5","2013 National, 2011 National","PUF","Payment change amount for second mortgage","HOUSEHOLD","Numeric","NA","","1 : 9997: $1 to $9,997||9998: $9,998 or more||D: Don't know||R: Refused||B: Not applicable","","","","","",
"PTCHAM2","31","Mortgage Details","9","Payment Change","5","2013 Metro, 2011 Metro","PUF","Payment change amount for second mortgage","HOUSEHOLD","Numeric","NA","","1 : 9997: $1 to $9,997||9998: $9,998 or more||D: Don't know||R: Refused||. : Not reported||B: Not applicable","","","","","",
"PTCHAM3","32","Mortgage Details","9","Payment Change","5","2013 National, 2011 National","PUF","Payment change amount for third mortgage","HOUSEHOLD","Numeric","NA","","1 : 9997: $1 to $9,997||9998: $9,998 or more||D: Don't know||R: Refused||B: Not applicable","","","","","",
"PTCHAM3","32","Mortgage Details","9","Payment Change","5","2011 Metro","PUF","Payment change amount for third mortgage","HOUSEHOLD","Numeric","NA","","1 : 9997: $1 to $9,997||9998: $9,998 or more||D: Don't know||R: Refused||. : Not reported||B: Not applicable","","","","","",
"PTCHYR2","33","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Payment amount changed in last year for the second mortgage","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"PTCHYR3","34","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Payment amount changed in last year for the third mortgage","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"RATEPM2","35","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Second mortgage payment changed from fixed rate to adjustable rate or vice versa","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"RATEPM3","36","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Third mortgage payment changed from fixed rate to adjustable rate or vice versa","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"SHOCK","37","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 Metro","PUF","Increase in payment amount for first mortgage was difficult to afford","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"SHOCK","37","Mortgage Details","9","Payment Change","5","2011 National","PUF","Increase in payment amount for first mortgage was difficult to afford","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"SHOCK2","38","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 Metro","PUF","Increase in payment amount for second mortgage was difficult to afford","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"SHOCK2","38","Mortgage Details","9","Payment Change","5","2011 National","PUF","Increase in payment amount for second mortgage was difficult to afford","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"SHOCK3","39","Mortgage Details","9","Payment Change","5","2013 Metro, 2011 Metro","PUF","Increase in payment amount for third mortgage was difficult to afford","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"SHOCK3","39","Mortgage Details","9","Payment Change","5","2011 National","PUF","Increase in payment amount for third mortgage was difficult to afford","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"TIMBOM","40","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","First mortgage payment varies due to payment option","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"TIMBOM2","41","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Second mortgage payment varies due to payment option","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"TIMBOM3","42","Mortgage Details","9","Payment Change","5","2013 National, 2011 National, 2011 Metro","PUF","Third mortgage payment varies due to payment option","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"VARM","43","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","First mortgage payment varies for some other reason","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"VARM","43","Mortgage Details","9","Payment Change","5","2009 National, 2007 National, 2007 Metro","PUF","First mortgage payment varies for some other reason","HOUSEHOLD","Character","NA","","X: Changes for some other reason||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"VARM","43","Mortgage Details","9","Payment Change","5","2009 Metro","PUF","First mortgage payment varies for some other reason","HOUSEHOLD","Character","NA","","X: Changes for some other reason||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"VARM","43","Mortgage Details","9","Payment Change","5","2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National, 1999 National, 1998 Metro, 1997 National","PUF","First mortgage payment varies for some other reason","HOUSEHOLD","Character","NA","","X: Changes for some other reason||Blank: Not reported||B: Not applicable","","","","","",
"VARM","43","Mortgage Details","9","Payment Change","5","1996 Metro, 1995 Metro, 1994 Metro, 1993 Metro","PUF","First mortgage payment varies for some other reason","Flat File","Character","","","0: No||1: Yes||8: Not reported||9: Not applicable","","","","","",
"VARM","43","Mortgage Details","9","Payment Change","5","1995 National","PUF","First mortgage payment varies for some other reason","Flat File","Character","","","0: No||1: Yes||8: Not reported||Blank: Not applicable","","","","","",
"VARM","43","Mortgage Details","9","Payment Change","5","1993 National, 1991 National, 1989 National, 1987 National, 1985 National","PUF","First mortgage payment varies for some other reason","Flat File","Character","","","0: No||1: Yes||Blank: Not applicable / Not reported","","","","","",
"VARM","43","Mortgage Details","9","Payment Change","5","1992 Metro, 1991 Metro, 1990 Metro, 1989 Metro, 1988 Metro, 1987 Metro, 1986 Metro, 1985 Metro","PUF","First mortgage payment varies for some other reason","Flat File","Character","","","0: No||1: Yes||9: Not applicable","","","","","",
"VARM","43","Mortgage Details","9","Payment Change","5","1984 Metro","PUF","First mortgage payment varies for some other reason","Flat File","Character","","","0: No||9: Not applicable","","","","","",
"VARM2","44","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Second mortgage payment varies for some other reason","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"VARM2","44","Mortgage Details","9","Payment Change","5","2009 National, 2007 National, 2007 Metro","PUF","Second mortgage payment varies for some other reason","HOUSEHOLD","Character","NA","","X: Changes for some other reason||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"VARM2","44","Mortgage Details","9","Payment Change","5","2009 Metro","PUF","Second mortgage payment varies for some other reason","HOUSEHOLD","Character","NA","","X: Changes for some other reason||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"VARM2","44","Mortgage Details","9","Payment Change","5","2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National, 1999 National, 1998 Metro, 1997 National","PUF","Second mortgage payment varies for some other reason","HOUSEHOLD","Character","NA","","X: Changes for some other reason||Blank: Not reported||B: Not applicable","","","","","",
"VARM2","44","Mortgage Details","9","Payment Change","5","1996 Metro, 1995 Metro, 1994 Metro, 1993 Metro","PUF","Second mortgage payment varies for some other reason","Flat File","Character","","","0: No||1: Yes||8: Not reported||9: Not applicable","","","","","",
"VARM2","44","Mortgage Details","9","Payment Change","5","1995 National","PUF","Second mortgage payment varies for some other reason","Flat File","Character","","","0: No||1: Yes||8: Not reported||Blank: Not applicable","","","","","",
"VARM2","44","Mortgage Details","9","Payment Change","5","1993 National, 1991 National, 1989 National, 1987 National, 1985 National","PUF","Second mortgage payment varies for some other reason","Flat File","Character","","","0: No||1: Yes||Blank: Not applicable / Not reported","","","","","",
"VARM2","44","Mortgage Details","9","Payment Change","5","1992 Metro, 1991 Metro, 1990 Metro, 1989 Metro, 1988 Metro, 1987 Metro, 1986 Metro, 1985 Metro","PUF","Second mortgage payment varies for some other reason","Flat File","Character","","","0: No||1: Yes||9: Not applicable","","","","","",
"VARM3","45","Mortgage Details","9","Payment Change","5","2013 National, 2011 National, 2011 Metro","PUF","Third mortgage payment varies for some other reason","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"HMRACCESS","1","Home Improvement","10","General","1","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro","PUF","Flag indicating home improvements done in last two years to make home more accessible for those with physical limitations","HOUSEHOLD","Character","JHMRACCESS","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Did you do any of these home improvements to make your home more accessible for people with physical limitations, such as people using a wheelchair or a walker?","HMRACCESS","None","INTSTATUS = '1' and TENURE = '1' and REMODJOBS > 0","",
"HMRACCESS","1","Home Improvement","10","General","1","2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating home improvements done to make home more accessible for elderly or disabled in last two years","HOUSEHOLD","Character","JHMRACCESS","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Did you do any of these home improvements to make your home more accessible for the elderly or disabled?","HMRACCESS","None","INTSTATUS = '1' and TENURE = '1' and REMODJOBS > 0","",
"HMRENEFF","2","Home Improvement","10","General","1","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating home improvements done to make home more energy efficient in last two years","HOUSEHOLD","Character","JHMRENEFF","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Did you do any of these home improvements to improve energy efficiency?","HMRENEFF","None","INTSTATUS = '1' and TENURE = '1' and REMODJOBS > 0","",
"HMRSALE","3","Home Improvement","10","General","1","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating home improvements done to get house ready for sale in last two years","HOUSEHOLD","Character","JHMRSALE","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Did you do any of these home improvements to get your house ready for sale?","HMRSALE","None","INTSTATUS = '1' and TENURE = '1' and REMODJOBS > 0","",
"MAINTAMT","4","Home Improvement","10","General","1","2023 National, 2023 Metro","PUF","Amount of annual routine maintenance costs","HOUSEHOLD","Numeric","JMAINTAMT","Coming soon","0 : 99997: $0 to $99,997||99998: $99,998 or more||M or -9: Not reported||N or -6: Not applicable","In a TYPICAL YEAR, about how much does your household spend for routine repairs and maintenance, such as painting, plumbing, roofing, or other minor repairs?","CSTMNT","Noise","INTSTATUS = '1' and TENURE = '1'","",
